article whose author is e0 or e1	SW.filter entity-en.article string-author string-= SW.concat
articles that were written before d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity d0 )
articles that won awards cited by e0	SW.filter ( SW.filter entity-en.article string-won_award ) SW.reverse string-cites string-= e0
author with the most number of articles	SW.countSuperlative entity-en.person string-max SW.reverse string-author entity-en.article
find an article with the same venue as e0	SW.filter entity-en.article string-venue string-= SW.getProperty e0 string-venue
article with the venue as annals of e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
author of e0	SW.filter ( SW.filter entity-en.person SW.reverse string-author string-= e0 ) SW.reverse string-author string-= e0
what is an article written by e0	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-author string-= e0
article whose venue is annals of e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
articles cited by e0 and that won awards	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-won_award
either annals of e0 or e1	SW.concat
articles citing two articles	SW.countComparative entity-en.article string-cites string-= number2 entity-en.article
this article cites 2 other articles	SW.countComparative entity-en.article string-cites string-= number2 entity-en.article
person that is author of article that cites e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-cites string-= e0 )
which article cites e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-cites string-= e0 )
articles cited by awardwinning articles	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-won_award )
find an article published before d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-< ( SW.ensureNumericEntity d0 )
which article is authored by e0 and has the annals of e1 as its venue	SW.filter ( SW.filter entity-en.article string-venue string-= e1 ) string-author string-= e0
articles that cite articles published in d0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
articles published except in d0	SW.filter entity-en.article string-publication_date string-!= d0
which author wrote under two articles	SW.countComparative entity-en.person SW.reverse string-author string-< number2 entity-en.article
who has written the fewest articles	SW.countSuperlative entity-en.person string-min SW.reverse string-author entity-en.article
articles that cities maximum two articles	SW.countComparative entity-en.article string-cites string-<= number2 entity-en.article
what are some articles unrelated to annals of e0	SW.filter entity-en.article string-venue string-!= e0
what author wrote two articles	SW.countComparative entity-en.person SW.reverse string-author string-= number2 entity-en.article
who is the author of a e0	SW.filter ( SW.filter entity-en.person SW.reverse string-author string-= e0 ) SW.reverse string-author string-= e0
venue that is venue of article whose author is e0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-author string-= e0 )
articles citing articles cited by e0	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
what author wrote the least number of articles	SW.countSuperlative entity-en.person string-min SW.reverse string-author entity-en.article
who authored two or fewer articles	SW.countComparative entity-en.person SW.reverse string-author string-<= number2 entity-en.article
writers who published in d0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
venues publishing the fewest articles	SW.countSuperlative entity-en.venue string-min SW.reverse string-venue entity-en.article
what venue has the most articles	SW.countSuperlative entity-en.venue string-max SW.reverse string-venue entity-en.article
what venue consists of e0	SW.getProperty e0 string-venue
name a person who has written two articles	SW.countComparative entity-en.person SW.reverse string-author string-= number2 entity-en.article
what article was cited by the award winning article	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-won_award )
what annals of e0 article was cited by e1	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e1 ) string-venue string-= e0
articles citing e0 written by e1	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-author string-= e1
article by more than two author	SW.countComparative entity-en.article string-author string-> number2
publication with the fewest articles	SW.countSuperlative entity-en.venue string-min SW.reverse string-venue entity-en.article
article that was awarded	SW.filter ( SW.filter entity-en.article string-won_award ) string-won_award
article citing more than two articles	SW.countComparative entity-en.article string-cites string-> number2 entity-en.article
articles published before d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-< ( SW.ensureNumericEntity d0 )
articles with more than two authors	SW.countComparative entity-en.article string-author string-> number2
name an article found in two venues	SW.countComparative entity-en.article string-venue string-= number2
what article cites an e0 article	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-author string-= e0 )
venue of article that e0 cites	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
what article has no less than two venues	SW.countComparative entity-en.article string-venue string->= number2
article cited by as well as cites e0	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) SW.reverse string-cites string-= e0
find a venue of an award winning article	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-won_award )
article that cites e0	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-cites string-= e0
which article cites e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-cites string-= e0 )
articles published in d0 and cited by e0	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) SW.reverse string-cites string-= e0
who has coauthored articles with e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-author string-= e0 )
author of at most two articles	SW.countComparative entity-en.person SW.reverse string-author string-<= number2 entity-en.article
article published in annals of e0	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-venue string-= e0
articles that mention three or more cities	SW.countComparative entity-en.article string-cites string-> number2 entity-en.article
what award winning article was written by e0	SW.filter ( SW.filter entity-en.article string-won_award ) string-author string-= e0
who is the author of the article that cites e0	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-author string-= en.person.efron
what article is written by e0 and won an award	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-won_award
which article does not cite e0	SW.filter entity-en.article SW.reverse string-cites string-!= e0
article published most recently	SW.superlative entity-en.article string-max SW.ensureNumericProperty string-publication_date
e0 venue	SW.getProperty e0 string-venue
article in less than two publications	SW.countComparative entity-en.article string-venue string-< number2
what article wasnt published in d0	SW.filter entity-en.article string-publication_date string-!= d0
find me an article that is in two venues	SW.countComparative entity-en.article string-venue string-= number2
venues that have published at least two articles	SW.countComparative entity-en.venue SW.reverse string-venue string->= number2 entity-en.article
article that references the least number of articles	SW.countSuperlative entity-en.article string-min string-cites entity-en.article
article cited two or fewer times	SW.countComparative entity-en.article SW.reverse string-cites string-<= number2 entity-en.article
venues with less than two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-< number2 entity-en.article
article that cites two or fewer articles	SW.countComparative entity-en.article string-cites string-<= number2 entity-en.article
what article has the most authors	SW.countSuperlative entity-en.article string-max string-author
articles publised in d0 that won an award	SW.filter ( SW.filter entity-en.article string-won_award ) string-publication_date string-= d0
articles published after e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
when was e0 published	SW.getProperty e0 string-publication_date
author of only one article	SW.countComparative entity-en.person SW.reverse string-author string-< number2 entity-en.article
what article is not cited in e0	SW.filter entity-en.article SW.reverse string-cites string-!= e0
author with at most two article	SW.countComparative entity-en.person SW.reverse string-author string-<= number2 entity-en.article
who is the other author for the article written by e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-author string-= e0 )
find an additional author to an e0 article	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-author string-= e0 )
what articles are published in annals of e0 and in the year d1	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-publication_date string-= d1
writer of two articles	SW.countComparative entity-en.person SW.reverse string-author string-= number2 entity-en.article
articles published in two venues	SW.countComparative entity-en.article string-venue string-= number2
find an author of an article in annals of e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-venue string-= e0 )
which article is mentioned in most number of articles	SW.countSuperlative entity-en.article string-max SW.reverse string-cites entity-en.article
what article cites an annals of e0 article	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
articles by e0 published in d1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-publication_date string-= d1
writers of two articles	SW.countComparative entity-en.person SW.reverse string-author string-= number2 entity-en.article
what articles are published in e0	SW.filter entity-en.article SW.reverse string-cites string-= e0
publications with at least two articles	SW.countComparative entity-en.venue SW.reverse string-venue string->= number2 entity-en.article
award winning articles published in d0	SW.filter ( SW.filter entity-en.article string-publication_date string-= d0 ) string-won_award
when was e0 published	SW.getProperty e0 string-publication_date
articles with more than two authors	SW.countComparative entity-en.article string-author string-> number2
what venue has under two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-< number2 entity-en.article
articles published before d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-< ( SW.ensureNumericEntity d0 )
what article cites an award winning article	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-won_award )
who is the author of multivariate date analysis articles	SW.filter ( SW.filter entity-en.person SW.reverse string-author string-= en.article.multivariate_data_analysis ) SW.reverse string-author string-= en.article.multivariate_data_analysis
article that citesmultivariate data analysis by author e0	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= en.article.multivariate_data_analysis ) string-author string-= e0
what article has the most venues	SW.countSuperlative entity-en.article string-max string-venue
what article was published after d0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-> ( SW.ensureNumericEntity d0 )
which author wrote two articles	SW.countComparative entity-en.person SW.reverse string-author string-= number2 entity-en.article
articles that cite two or fewer articles	SW.countComparative entity-en.article SW.reverse string-cites string-<= number2 entity-en.article
name someone who has written an article about e0	SW.filter ( SW.filter entity-en.person SW.reverse string-author string-= e0 ) SW.reverse string-author string-= e0
name an article not published in d0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
what is the venues number	.size entity-en.venue
article with two or more publishers	SW.countComparative entity-en.article string-venue string->= number2
what article has a publication date greater than that of e0	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-publication_date  )
article that cites e0 that is published in d1	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-publication_date string-= d1
what is the venue of the article published in d0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
find an article making a citation of a d0 published article	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
name an article found in more than two publications	SW.countComparative entity-en.article string-venue string-> number2
article that does not reference e0	SW.filter entity-en.article string-cites string-!= e0
articles found in at most two publications	SW.countComparative entity-en.article string-venue string-<= number2
article that mentions one article	SW.countComparative entity-en.article string-cites string-< number2 entity-en.article
articles published in d0 citations	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
article publication of e0	SW.filter entity-en.article string-venue string-= ( SW.filter entity-en.venue SW.reverse string-venue string-= e0 )
which e0 article cites e1	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e1 ) string-author string-= e0
what articles cites two other articles	SW.countComparative entity-en.article SW.reverse string-cites string->= number2 entity-en.article
articles published before d0 or before d1	SW.filter entity-en.article SW.ensureNumericProperty string-publication_date  string-<= ( SW.ensureNumericEntity SW.concat )
what article has a venue of e0	SW.filter entity-en.article string-venue string-= SW.getProperty e0 string-venue
articles published in annals of e0 and cited by e1	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) SW.reverse string-cites string-= e1
journal that publishes the fewest number of articles	SW.countSuperlative entity-en.venue string-min SW.reverse string-venue entity-en.article
which article is mentioned in least number of other articles	SW.countSuperlative entity-en.article string-min SW.reverse string-cites entity-en.article
article with the maximum number of venues	SW.countSuperlative entity-en.article string-max string-venue
what author wrote about annals of e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article string-venue string-= e0 )
what venue has articles published in d0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
article by e0	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-author string-= e0
find an article in the annals of e0 venue	SW.filter entity-en.article string-venue string-= e0
what article discusses another article that won an award	SW.filter entity-en.article string-cites string-= ( SW.filter entity-en.article string-won_award )
venues that have published at most two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-<= number2 entity-en.article
articles written by e0 cites	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-author string-= e0 )
articles with fewest citations	SW.countSuperlative entity-en.article string-min string-cites entity-en.article
what award winning article was cited by e0	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-won_award
what articles are published in annals of e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-venue string-= e0 )
what is the venue of e0	SW.filter ( SW.filter entity-en.venue SW.reverse string-venue string-= e0 ) SW.reverse string-venue string-= e0
what award winning article was in annals of e0	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-won_award
venue of maximum two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-<= number2 entity-en.article
articles citing e0 published in annals of e1	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-venue string-= e1
which venue has two articles maximum	SW.countComparative entity-en.venue SW.reverse string-venue string-<= number2 entity-en.article
articles that cite e0 and are cited in e0	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-cites string-= e0
articles cited by studies using e0	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) SW.reverse string-cites string-= e0
writer of articles cited by e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
article that cites a single article	SW.countComparative entity-en.article SW.reverse string-cites string-< number2 entity-en.article
name a person who has authored fewer than two articles	SW.countComparative entity-en.person SW.reverse string-author string-< number2 entity-en.article
find an article with no more than two authors	SW.countComparative entity-en.article string-author string-<= number2
articles that won an award written by e0	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-won_award
award winning article published by annals of e0	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-won_award
what article cites the most number of other articles	SW.countSuperlative entity-en.article string-max string-cites entity-en.article
writers who didnt write e0	SW.filter entity-en.person SW.reverse string-author string-!= e0
article citing e0 published in d1	SW.filter ( SW.filter entity-en.article SW.reverse string-cites string-= e0 ) string-publication_date string-= d1
publications of e0	SW.getProperty e0 string-venue
venue of two article	SW.countComparative entity-en.venue SW.reverse string-venue string-= number2 entity-en.article
award winning article	SW.filter entity-en.article string-won_award
article that cite at least two articles	SW.countComparative entity-en.article string-cites string->= number2 entity-en.article
articles published in the fewest venues	SW.countSuperlative entity-en.article string-min string-venue
find an e0 article that cites e1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-cites string-= e1
what article was in less than two venues	SW.countComparative entity-en.article string-venue string-< number2
an article citing e0	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) SW.reverse string-cites string-= e0
what journal is e0 published in	SW.getProperty e0 string-venue
articles that have a minimum of two authors	SW.countComparative entity-en.article string-author string->= number2
article cited by article which is published in d0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-publication_date string-= d0 )
find an article in annals of e0 that was published in d1	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-publication_date string-= d1
who wrote an article citing e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
articles not written by e0	SW.filter entity-en.article string-author string-!= e0
article written by one author	SW.countComparative entity-en.article string-author string-< number2
who wrote e0	SW.getProperty e0 string-author
there are at least two venues in the article	SW.countComparative entity-en.article string-venue string->= number2
publications with articles authored by e0	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-author string-= e0 )
author of two articles	SW.countComparative entity-en.person SW.reverse string-author string-= number2 entity-en.article
earliest published article	SW.superlative entity-en.article string-min SW.ensureNumericProperty string-publication_date
which article was published  in more than two magazines	SW.countComparative entity-en.article string-venue string-> number2
article that cites e0 whose venue is annals of e1	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-venue string-= e1
article with the largest amount of authors	SW.countSuperlative entity-en.article string-max string-author
what venue has less than two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-< number2 entity-en.article
what article is about annals of e0	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-venue string-= e0
article written by e0 that cites e1	SW.filter ( SW.filter entity-en.article string-author string-= e0 ) string-cites string-= e1
articles written by two authors at most	SW.countComparative entity-en.article string-author string-<= number2
what venue is about the most number of articles	SW.countSuperlative entity-en.venue string-max SW.reverse string-venue entity-en.article
articles cited in articles by e0	SW.filter entity-en.article SW.reverse string-cites string-= ( SW.filter entity-en.article string-author string-= e0 )
what article makes the most citations	SW.countSuperlative entity-en.article string-max string-cites entity-en.article
articles published in e0	SW.filter entity-en.article string-venue string-= SW.getProperty e0 string-venue
who wrote an article about city e0	SW.filter entity-en.person SW.reverse string-author string-= ( SW.filter entity-en.article SW.reverse string-cites string-= e0 )
name an article with fewer than two authors	SW.countComparative entity-en.article string-author string-< number2
what article cites the fewest articles	SW.countSuperlative entity-en.article string-min string-cites entity-en.article
articles that cite e0	SW.filter ( SW.filter entity-en.article string-cites string-= e0 ) string-cites string-= e0
articles published in two or fewer venues	SW.countComparative entity-en.article string-venue string-<= number2
publications where articles by e0 can be found	SW.filter entity-en.venue SW.reverse string-venue string-= ( SW.filter entity-en.article string-author string-= e0 )
article on annals of e0 by e1	SW.filter ( SW.filter entity-en.article string-venue string-= e0 ) string-author string-= e1
venue with two article published	SW.countComparative entity-en.venue SW.reverse string-venue string-= number2 entity-en.article
article written by e0 and published in d1	SW.filter ( SW.filter entity-en.article string-publication_date string-= d1 ) string-author string-= e0
name a publication containing no more than two articles	SW.countComparative entity-en.venue SW.reverse string-venue string-<= number2 entity-en.article
what article sites only one other article	SW.countComparative entity-en.article string-cites string-< number2 entity-en.article
authors of multiple articles	SW.countSuperlative entity-en.person string-min SW.reverse string-author entity-en.article
article that cited e0 in annals of e1	SW.filter ( SW.filter entity-en.article string-venue string-= e1 ) string-cites string-= e0
what is the newest published article	SW.superlative entity-en.article string-max SW.ensureNumericProperty string-publication_date
articles authored by one	SW.countComparative entity-en.article string-author string-< number2
which articles cite two or fewer articles	SW.countComparative entity-en.article SW.reverse string-cites string-<= number2 entity-en.article
what article makes the fewest citations	SW.countSuperlative entity-en.article string-min SW.reverse string-cites entity-en.article
article that has the least number of author	SW.countSuperlative entity-en.article string-min string-author
article with the fewest authors	SW.countSuperlative entity-en.article string-min string-author
